req_id,source,section,text
R1,SP 800-227,§3.1 (RS1),"A parameter set with an application-appropriate security strength must be selected."
R2,SP 800-227,§4.6 (RS10),"NIST encourages the use of key combiners that generically preserve IND-CCA security, in the sense that the combined scheme is IND-CCA, provided at least one of the ingredient KEMs is IND-CCA."
R3,SP 800-227,§4.6 (RS11),"Output: H(K_1, K_2, c_1, c_2, ek_1, ek_2, domain_sep). The domain separator domain_sep should be used to uniquely identify the composite scheme in use."
R4,SP 800-227,§3.2 (RS5),"All intermediate values used in any given KEM algorithm (i.e., KeyGen, Encaps, Decaps) shall be destroyed before the algorithm terminates."
R5,SP 800-227,§3.2 (RS6),"Devices need to provide appropriate secure storage for sensitive data (e.g., KEM keys, seeds, shared secret keys, any derived keys) and destroy that data when required by the cryptographic module."
R6,SP 800-227,§3.2 (RS4),"If an application uses an ephemeral key pair, the key pair SHALL be used for only one execution of key-establishment via a KEM and SHALL be destroyed as soon as possible after its use."
R7,SP 800-227,§5,"This additional complexity will be reflected in implementations and applications and could introduce security vulnerabilities. Moreover, adding composite schemes introduces additional choices in protocols, which could also introduce vulnerabilities (e.g., in the form of downgrade attacks)."
R8,CFRG hybrid-kems-10,§4 / §6.2.1,"KEM_PQ, Group_T, PRG, and KDF MUST meet the interfaces described in Section 4 and MUST meet the security requirements described in Section 6.2.1."
R9,CFRG hybrid-kems-10,§5.1,"A byte string used to label the specific combination of the above components being used, as well as which framework is being instantiated. This value should be registered in the Hybrid KEM Labels IANA registry to avoid conflict with other instantiations."
R10,CFRG hybrid-kems-10,§3.2,"A given key pair MUST never be used in both a hybrid KEM and with a non-hybrid algorithm."
R11,CFRG hybrid-kems-10,§3.2,"A pair of key pairs generated for a hybrid algorithm MUST only be used with that hybrid algorithm, not separately with their component algorithms."
R12,CFRG hybrid-kems-10,§3.2,"Key pairs generated outside of the context of a hybrid KEM MUST NOT be used with a hybrid KEM."
R13,CFRG hybrid-kems-10,§6.2.1,"PRGs used with the frameworks in this document MUST provide the bit-security required to source input randomness for PQ/T components from a seed that is expanded to a output length, of which a subset is passed to the component key generation algorithms."
R14,ETSI TS 103 744,§5.3.3,"MB may include session negotiation information. In the case where more than two key establishment schemes are being used, MB shall contain all of the corresponding public keys and ciphertext."
R15,ETSI TS 103 744,§5.3.2,"If any ReceiveFunc_i returns an error indicator, A SHALL terminate the process."
R16,ETSI TS 103 744,§5.3.2,"If any ResponseFunc_i returns an error indicator, B SHALL terminate the process."
